date,adjusted_close
2022-03-04,412.3581
2022-03-07,400.2022
2022-03-08,397.1679
2022-03-09,407.8163
2022-03-10,405.9748
2022-03-11,400.8128
2022-03-14,397.8836
2022-03-15,406.6332
2022-03-16,415.65
2022-03-17,420.8501
2022-03-18,425.4596
2022-03-21,425.3352
2022-03-22,430.3122
2022-03-23,424.7705
2022-03-24,431.1736
2022-03-25,433.2793
2022-03-28,436.3612
2022-03-29,441.7594
2022-03-30,439.0316
2022-03-31,432.2743
2022-04-01,433.4994
2022-04-04,437.2131
2022-04-05,431.6905
2022-04-06,427.3739
2022-04-07,429.5274
2022-04-08,428.3788
2022-04-11,421.0569
2022-04-12,419.4968
2022-04-13,424.3015
2022-04-14,419.0182
2022-04-18,419.1905
2022-04-19,425.9573
2022-04-20,425.6415
2022-04-21,419.2766
2022-04-22,407.772
2022-04-25,410.1361
2022-04-26,398.2582
2022-04-27,399.3781
2022-04-28,409.4661
2022-04-29,394.334
2022-05-02,396.7077
2022-05-03,398.5262
2022-05-04,410.6625
2022-05-05,396.0664
2022-05-06,393.7023
2022-05-09,381.097
2022-05-10,381.9776
2022-05-11,375.9094
2022-05-12,375.517
2022-05-13,384.4948
2022-05-16,382.9347
2022-05-17,390.8118
2022-05-18,375.0576
2022-05-19,372.7605
2022-05-20,372.9232
2022-05-23,379.9006
2022-05-24,377.0006
2022-05-25,380.3313
2022-05-26,387.9309
2022-05-27,397.4542
2022-05-31,395.2242
2022-06-01,392.0274
2022-06-02,399.4929
2022-06-03,392.9366
2022-06-06,394.133
2022-06-07,397.9137
2022-06-08,393.5875
2022-06-09,384.2268
2022-06-10,373.0859
2022-06-13,358.9205
2022-06-14,357.839
2022-06-15,362.9404
2022-06-16,350.9286
2022-06-17,351.6851
2022-06-21,360.5382
2022-06-22,359.8846
2022-06-23,363.4124
2022-06-24,374.9667
2022-06-27,373.5344
2022-06-28,365.9021
2022-06-29,365.6041
2022-06-30,362.6338
2022-07-01,366.4692
2022-07-05,367.1613
2022-07-06,368.4013
2022-07-07,373.9189
2022-07-08,373.6113
2022-07-11,369.3434
2022-07-12,366.0751
2022-07-13,364.1526
2022-07-14,363.2682
2022-07-15,370.2085
2022-07-18,367.1517
2022-07-19,377.0719
2022-07-20,379.475
2022-07-21,383.3392
2022-07-22,379.7826
2022-07-25,380.244
2022-07-26,375.7453
2022-07-27,385.5021
2022-07-28,390.3372
2022-07-29,396.0278
2022-08-01,394.8551
2022-08-02,392.2501
